v,p,q
205.0,-2236.0679775382478,-4472.135954980351
206.0,-2236.067979980322,-4472.135953759313
207.0,-2236.068137494058,-4472.135875002441
208.0,-2236.0782959651738,-4472.1307957520075
209.0,-2236.7286604177757,-4471.805552533081
210.0,-2266.1763700890097,-4456.954639622239
211.0,-2428.9761116929394,-4370.36326279922
212.0,-2500.0,-3999.9711591289265
213.0,-2500.0,-3499.9995528024824
214.0,-2500.0,-2999.9999930683607
215.0,-2500.0,-2499.999999999993
216.0,-2500.0,-2000.0000069316266
217.0,-2500.0,-1500.0004471975176
218.0,-2500.0,-1000.0288408710728
219.0,-2500.0,-501.84618761732133
220.0,-2500.0,-83.17766166719365
221.0,-2500.0,-1.8461876173236913
222.0,-2500.0,-0.028840871076507568
223.0,-2500.0,-0.00044719752148036923
224.0,-2500.0,-6.931630709416948e-06
225.0,-2500.0,-6.222063389793264e-14
226.0,-2500.0,6.93163158381857e-06
227.0,-2500.0,0.000447197520726527
228.0,-2500.0,0.0288408710766433
229.0,-2500.0,1.846187617322751
230.0,-2500.0,83.1776616671935
231.0,-2500.0,501.8461876173226
232.0,-2500.0,1000.0288408710736
233.0,-2500.0,1500.0004471975176
234.0,-2500.0,2000.0000069316252
235.0,-2500.0,2499.999999999993
236.0,-2500.0,2999.9999930683603
237.0,-2500.0,3499.9995528024824
238.0,-2500.0,3999.9711591289274
239.0,-2428.9761116929385,4370.36326279922
240.0,-2266.176370088993,4456.954639622248
241.0,-2236.728660416862,4471.805552533539
242.0,-2236.0782959152757,4472.130795776957
243.0,-2236.0681347697605,4472.13587636459
244.0,-2236.0678312387536,4472.136028130094
245.0,-2236.059856693918,4472.140015393299
246.0,-2235.625100721815,4472.357365978548
247.0,-2213.2770547707137,4483.459008268669
248.0,-1831.53905946031,4652.4686644480735
249.0,-984.2745173321633,4902.16316277061
250.0,-173.0958262224784,4994.816946155494
251.0,-4.534130344163855,4996.535636675593
252.0,-0.08378970712469609,4996.536664347264
253.0,-0.0015349147105347424,4996.536664698182
254.0,-2.8113029017036173e-05,4996.536664698299
255.0,-5.149078683543149e-07,4996.536664698299
